Palmolive Naturals Ultra Smooth Shampoo 1L Pump, Pack of 3 | straight | nan
LOreal Professionnel Serie Expert Absolut Repair Gold Hair Mask (Dry and Damaged Hair) 250ml | straight | nan
Not Your Mother's Curl Talk Defining Hair Cream | straight | nan
Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM) | curly | nan
Curlico. Curl Defining Crème Gel | curly | nan
Pantene Pro-V Shampoo Hair Fall Control Hair Care 1200ml | straight | Shampoo
Sunsilk Smooth & Manageable Shampoo 350ml | straight | Shampoo
Dove Shampoo Straight & Silky 1.4L | straight | Shampoo
Cream Silk Ultimate Reborn Hair Conditioner Standout Straight with Tri-Oleo 1.4L | straight | Conditioner
PANTENE Conditioner 3 Minute Miracle Collagen Repair 150mL | straight | Conditioner
Dove 1 Minute Amino Restore Conditioner 150ml | straight | Conditioner
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml | straight | Styling Product
LUXE ORGANIX Curl Define Intensive Hydration Daily Shampoo 220ml | curly | Shampoo
Luxe Organix Curl Define Intensive Hydration Daily Conditioner 210ml | curly | Conditioner
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml | wavy | Shampoo
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml | wavy | Shampoo
Herbal Essences Conditioner Repair Argan Oil of Morocco Hair Care 600ml | wavy | Conditioner
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml | wavy | Conditioner
MONEA Curl Defining Milk Hair Lotion 200ml | curly | Styling Product
Tresemme Hair Styling Spray Protecting Heat 8oz | wavy | Styling Product
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml | curly | Styling Product
CREAMSILK Ultimate Reborn Hairfall Defense Tri-Oleo Conditioner 180ml | wavy | Conditioner
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml | curly | Conditioner
Palmolive Naturals Silky Straight with Keratin Cream Conditioner 180ml | straight | Conditioner
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml | curly | Conditioner
